"id","turId","artId","antal"
"5518","712","1866","1"
"5519","712","1827","1"
"5520","714","1818","1"
"5521","712","1818","1"
"5522","712","1798","1"
"5523","714","2015","1"
"5524","712","2015","1"
"5525","714","2017","1"
"5526","712","2017","1"
"5527","712","1943","1"
"5528","714","1920","1"
"5529","712","1920","1"
"5530","714","1931","1"
"5531","712","1931","1"
"5532","714","1911","1"
"5533","712","1911","1"
"5534","714","1958","1"
"5535","712","1958","1"
"5536","712","1977","1"
"5537","714","2022","1"
"5538","714","2021","1"
"5539","714","2042","1"
"5540","712","2042","1"
"5541","714","2024","1"
"5542","712","2024","1"
"5543","712","2065","1"
"5544","714","2130","1"
"5545","712","2130","1"
"5546","712","7571","1"
"5547","712","10407","1"
"5548","712","10370","1"
"5549","714","9547","1"
"5550","712","9547","1"
"5551","712","9420","1"
"5552","714","9312","1"
"5553","712","9312","1"
"5554","712","8918","1"
"5555","714","9969","1"
"5556","712","9969","1"
"5557","714","9125","1"
"5558","712","9125","1"
"5559","712","7317","1"
"5560","712","7301","1"
"5561","716","803","1"
"5562","717","1546","1"
"5563","718","1519","1"
"5564","717","8283","1"
"5565","717","9667","1"
"5566","719","969","1"
"5567","719","972","1"
"5568","719","993","1"
"5569","719","937","1"
"5570","719","894","1"
"5571","720","300","1"
"5572","721","4377","1"
"5573","721","7571","1"
"5574","721","8349","1"
"5575","722","10444","1"
"5576","723","10370","1"
"5577","724","10346","1"
"5578","725","1205","1"
"5579","726","1343","1"
"5580","727","8349","1"
"5581","726","9499","1"
"5582","728","7623","1"
"5583","726","7488","1"
"5584","728","8974","1"
"5585","729","732","1"
"5586","730","732","1"
"5587","730","869","1"
"5588","730","829","1"
"5589","729","824","1"
"5590","729","1183","1"
"5591","730","1272","1"
"5592","731","1240","1"
"5593","730","1285","1"
"5594","729","1365","1"
"5595","730","1948","1"
"5596","729","2130","1"
"5597","730","2140","1"
"5598","730","4138","1"
"5599","730","10368","1"
"5600","730","9125","1"
"5601","732","802","1"
"5602","732","804","1"
"5603","732","1003","1"
"5604","732","538","1"
"5605","732","584","1"
"5606","732","577","1"
"5607","732","604","1"
"5608","732","293","1"
"5609","732","1690","1"
"5610","732","9125","1"
"5611","733","801","1"
"5612","733","788","1"
"5613","733","585","1"
"5614","733","1508","1"
"5615","733","7571","1"
"5616","733","10951","1"
"5617","733","7221","1"
"5618","734","924","1"
"5619","734","511","1"
"5620","734","517","1"
"5621","734","607","1"
"5622","734","1354","1"
"5623","734","1205","1"
"5624","734","1217","1"
"5625","734","1721","1"
"5626","734","1716","1"
"5627","734","1866","1"
"5628","734","1827","1"
"5629","734","1812","1"
"5630","734","1798","1"
"5631","734","1964","1"
"5632","735","609","1"
"5633","735","10350","1"
"5634","735","9334","1"
"5635","736","1627","1"
"5636","736","10555","1"
"5637","736","7317","1"
"5638","737","792","1"
"5639","737","975","1"
"5640","737","999","1"
"5641","737","926","1"
"5642","737","937","1"
"5643","737","952","1"
"5644","737","436","1"
"5645","737","447","1"
"5646","737","441","1"
"5647","737","499","1"
"5648","737","511","1"
"5649","737","518","1"
"5650","737","566","1"
"5651","737","533","1"
"5652","737","520","1"
"5653","737","583","1"
"5654","737","585","1"
"5655","737","575","1"
"5656","737","586","1"
"5657","737","594","1"
"5658","737","613","1"
"5659","737","1110","1"
"5660","737","1274","1"
"5661","737","1278","1"
"5662","737","1340","1"
"5663","737","1327","1"
"5664","737","1329","1"
"5665","737","1036","1"
"5666","737","1039","1"
"5667","737","1217","1"
"5668","737","1106","1"
"5669","737","1090","1"
"5670","737","1078","1"
"5671","737","1551","1"
"5672","737","1603","1"
"5673","737","1729","1"
"5674","737","1846","1"
"5675","737","1852","1"
"5676","737","1831","1"
"5677","737","1832","1"
"5678","737","1951","1"
"5679","737","1909","1"
"5680","737","1961","1"
"5681","737","1968","1"
"5682","737","1980","1"
"5683","737","1975","1"
"5684","737","1971","1"
"5685","737","2190","1"
"5686","737","4089","1"
"5687","737","4436","1"
"5688","737","4541","1"
"5689","737","4503","1"
"5690","737","4440","1"
"5691","737","7539","1"
"5692","737","6900","1"
"5693","737","10726","1"
"5694","737","10703","1"
"5695","737","10700","1"
"5696","737","10704","1"
"5697","737","10721","1"
"5698","737","10727","1"
"5699","737","10738","1"
"5700","737","10920","1"
"5701","737","10926","1"
"5702","737","10928","1"
"5703","737","8847","1"
"5704","737","5324","1"
"5705","737","5326","1"
"5706","737","5323","1"
"5707","737","5327","1"
"5708","737","5353","1"
"5709","737","5171","1"
"5710","737","9374","1"
"5711","737","9010","1"
"5712","737","9012","1"
"5713","737","7443","1"
"5714","737","7442","1"
"5715","737","7497","1"
"5716","737","8992","1"
"5717","737","9004","1"
"5718","737","8921","1"
"5719","737","8879","1"
"5720","737","8906","1"
"5721","737","11015","1"
"5722","737","10552","1"
"5723","737","10587","1"
"5724","737","11624","1"
"5725","737","11078","1"
"5726","737","11012","1"
"5727","737","11045","1"
"5728","737","11008","1"
"5729","737","11006","1"
"5730","737","10942","1"
"5731","737","7289","1"
"5732","737","7210","1"
"5733","738","225","1"
"5734","738","224","1"
"5735","738","213","1"
"5736","738","1753","1"
"5737","738","7448","1"
"5738","738","10611","1"
"5739","738","7176","1"
"5740","739","1003","1"
"5741","740","1975","1"
"5742","741","643","1"
"5743","741","975","1"
"5744","741","999","1"
"5745","741","1010","1"
"5746","741","926","1"
"5747","741","441","1"
"5748","741","521","1"
"5749","741","607","1"
"5750","741","1110","1"
"5751","741","1163","1"
"5752","741","1285","1"
"5753","741","1331","1"
"5754","741","1036","1"
"5755","741","1217","1"
"5756","741","1725","1"
"5757","741","1838","1"
"5758","741","1945","1"
"5759","741","1914","1"
"5760","741","1961","1"
"5761","741","2021","1"
"5762","741","2025","1"
"5763","741","2190","1"
"5764","741","3283","1"
"5765","741","3399","1"
"5766","741","3469","1"
"5767","741","3904","1"
"5768","741","4089","1"
"5769","741","4541","1"
"5770","741","4439","1"
"5771","741","7571","1"
"5772","741","7618","1"
"5773","741","7539","1"
"5774","741","7567","1"
"5775","741","7536","1"
"5776","741","7548","1"
"5777","741","7539","1"
"5778","741","7546","1"
"5779","741","7428","1"
"5780","741","10920","1"
"5781","741","10927","1"
"5782","741","10915","1"
"5783","741","5326","1"
"5784","741","5323","1"
"5785","741","5327","1"
"5786","741","5351","1"
"5787","741","9374","1"
"5788","741","8918","1"
"5789","741","9738","1"
"5790","741","11015","1"
"5791","741","10552","1"
"5792","741","10537","1"
"5793","741","10635","1"
"5794","741","11656","1"
"5795","741","10585","1"
"5796","741","9969","1"
"5797","741","11077","1"
"5798","741","11011","1"
"5799","741","10944","1"
"5800","741","10877","1"
"5801","741","9125","1"
"5802","741","7178","1"
"5803","741","7263","1"
"5804","741","7254","1"
"5805","741","7317","1"
"5806","741","7289","1"
"5807","741","7211","1"
"5808","742","1169","1"
"5809","743","1168","1"
"5810","742","1177","1"
"5811","742","10001","1"
"5812","744","802","1"
"5813","744","801","1"
"5814","744","804","1"
"5815","744","788","1"
"5816","745","732","1"
"5817","744","1003","1"
"5818","744","993","1"
"5819","744","924","1"
"5820","744","935","1"
"5821","744","953","1"
"5822","744","922","1"
"5823","744","905","1"
"5824","745","869","1"
