"id","latinFamilie","familieSort"
"973","Iridosornis","11481"
"974","Ispidina","4145"
"975","Ithaginis","361"
"976","Ixobrychus","923"
"977","Ixonotus","8150"
"978","Ixoreus","9425"
"979","Ixos","8209"
"980","Jabiru","856"
"981","Jabouilleia","8600"
"982","Jacamaralcyon","4729"
"983","Jacamerops","4742"
"984","Jacana","1830"
"985","Jubula","3225"
"986","Junco","11230"
"987","Jynx","4474"
"988","Kakamega","8581"
"989","Kaupifalco","1327"
"990","Kenopia","8607"
"991","Ketupa","3200"
"992","Klais","3675"
"993","Knipolegus","5333"
"994","Kozlowia","10807"
"995","Kupeornis","8830"
"996","Lacedo","4084"
"997","Lafresnaya","3858"
"998","Lagonosticta","10391"
"999","Lagopus","236"
"1000","Lalage","6881"
"1001","Lampornis","3821"
"1002","Lamprolaima","3824"
"1003","Lamprolia","7321"
"1004","Lampropsar","11095"
"1005","Lamprospiza","11368"
"1006","Lamprotornis","9337"
"1007","Laniarius","6733"
"1008","Laniisoma","4910"
"1009","Lanio","11429"
"1010","Laniocera","4905"
"1011","Lanioturdus","6660"
"1012","Lanius","7013"
"1013","Larosterna","2069"
"1014","Larus","2015"
"1015","Laterallus","1519"
"1016","Lathamus","2632"
"1017","Lathrotriccus","5272"
